ID	D1	IGNORE THEME	D1	TELUGU	D1	ENGLISH	D1	CLUE	D1	IMAGE	D1	SOUND
616	|	FLOWERS	|	నీలి గులాబి	|	BLUE ROSE	|	నీలి గులాబి_CLUE	|	HTTP://SPHOTOS-A.XX.FBCDN.NET/HPHOTOS-ASH4/282241_319267914822076_145351826_N.JPG	|	
617	|	FLOWERS	|	పెద్ద చామంతి	|	BUTTERCUP	|	పెద్ద చామంతి_CLUE	|	HTTP://WWW.WILDFLOWERSOFIRELAND.NET/IMAGE_UPLOADS/FLOWERS/BUTTERCUPXXX-CREEPING-1.JPG	|	
618	|	FLOWERS	|	మొగలి పువ్వు	|	CALDERA	|	మొగలి పువ్వు_CLUE	|	HTTP://3.BP.BLOGSPOT.COM/_O91WDZTOCIC/SIQT2T1DWFI/AAAAAAAAAKW/ZSNOQHTVQK0/S320/MOGALI.JPG	|	
619	|	FLOWERS	|	మొగ్గ తొడుగు	|	CALYX	|	మొగ్గ తొడుగు_CLUE	|	HTTP://WWW.MISSOURIPLANTS.COM/PINKALT/CALLIRHOE_INVOLUCRATA_CALYX.JPG	|	
620	|	FLOWERS	|	చామంతి	|	CAMOMILE	|	చామంతి_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/6/6E/CHAMAEMELUM_NOBILE_001.JPG/450PX-CHAMAEMELUM_NOBILE_001.JPG	|	
621	|	FLOWERS	|	మందార	|	CHINA ROSE	|	మందార_CLUE	|	HTTP://FC07.DEVIANTART.NET/FS71/I/2010/195/7/9/CHINA_ROSE_BY_MARI_NA.JPG	|	
622	|	FLOWERS	|	చైనా లిల్లి	|	CHINALILY	|	చైనా లిల్లి_CLUE	|	HTTP://RICHARDEWARD.COM/IMAGES/WHITE-LILY.JPG	|	
623	|	FLOWERS	|	చామంతి	|	CHRYSANTHEMUM	|	చామంతి_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/TE/THUMB/5/55/DSC03122.JPG/800PX-DSC03122.JPG	|	
624	|	FLOWERS	|	నాగమణి పువ్వు	|	COBRA FLOWER	|	నాగమణి పువ్వు_CLUE	|	HTTP://WWW.MAGICOFLIFE.ORG/FLOWER_PHOTOS/DARLINGTONIA_FLOWER.JPG	|	
625	|	FLOWERS	|	పూరేకులు	|	COROLLA	|	పూరేకులు_CLUE	|		|	
626	|	FLOWERS	|	దూది పువ్వు	|	COTTON FLOWER	|	దూది పువ్వు_CLUE	|	HTTP://SEEDED.FILES.WORDPRESS.COM/2008/08/8-02-FIRST-COTTON-FLOWER-2.JPG	|	
627	|	FLOWERS	|	పెద్ద గులాబి	|	COWSLIP	|	పెద్ద గులాబి_CLUE	|	HTTP://WWW.FLOWERS-CS.COM/PICTURES/COWSLIP.JPG	|	
628	|	FLOWERS	|	కుంకుమ పువ్వు	|	CROCUS	|	కుంకుమ పువ్వు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/6/63/CROCUS_LONGIFLORUS5.JPG/800PX-CROCUS_LONGIFLORUS5.JPG	|	
629	|	FLOWERS	|	కనకాంబరము	|	CROSSANDRA 	|	కనకాంబరము_CLUE	|	HTTP://WWW.FLORIDAFRIENDLYPLANTS.COM/DATABASEIMAGES/CROSSANDRAORANGEMARMALADE.JPG	|	
630	|	FLOWERS	|	చిట్టి చామంతి	|	DAFFODIL	|	చిట్టి చామంతి_CLUE	|	HTTP://FLOWERS.CATCHSMILE.COM/WP-CONTENT/UPLOADS/2011/05/DAFFODIL-4.JPG	|	
631	|	FLOWERS	|	పసుపు పచ్చ పువ్వు	|	DANDELION	|	పసుపు పచ్చ పువ్వు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/4/4F/DANDELIONFLOWER.JPG/220PX-DANDELIONFLOWER.JPG	|	
632	|	FLOWERS	|	కనకాంబరము	|	FIRECRACKER FLOWER	|	కనకాంబరము_CLUE	|	HTTP://FARM8.STATICFLICKR.COM/7122/7771994560_C1C792BA4F.JPG	|	
633	|	FLOWERS	|	పువ్వు	|	FLOWER	|	పువ్వు_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/A/A5/FLOWER_POSTER_2.JPG/451PX-FLOWER_POSTER_2.JPG	|	
634	|	FLOWERS	|	అత్తిపత్తి	|	FORGET-ME-NOT	|	అత్తిపత్తి_CLUE	|	HTTP://1.BP.BLOGSPOT.COM/_GH_RRPR1VUQ/TBZLNWWF3VI/AAAAAAAAANM/ZDLQSWJM96I/S1600/FORGET+ME+NOT+CLOSE+UP.JPG	|	
635	|	FLOWERS	|	సంపెంగ	|	GOLD FLOWER	|	సంపెంగ_CLUE	|	HTTP://2.BP.BLOGSPOT.COM/_O91WDZTOCIC/SH7PC9PWHQI/AAAAAAAABPO/QSSAK4FVIXG/S320/SAMPENGA+2.JPG	|	
636	|	FLOWERS	|	మందార	|	HIBISCUS	|	మందార_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/C/CB/HIBISCUS_FLOWER_TZ.JPG/399PX-HIBISCUS_FLOWER_TZ.JPG	|	
637	|	FLOWERS	|	తెల్ల కలువ	|	LILY	|	తెల్ల కలువ_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/8/83/NYMPHAEA_ALBA_IN_DUISBURG.JPG/800PX-NYMPHAEA_ALBA_IN_DUISBURG.JPG	|	
638	|	FLOWERS	|	తామర	|	LOTUS	|	తామర_CLUE	|	HTTP://WWW.NDSU.EDU/PUBWEB/CHIWONLEE/PLSC211/STUDENT%20PAPERS/ARTICLES09/ELIZABETH%20LARSON/LOTUSFLOWER/NEW%20FOLDER/LOTUSFLOWER.JPEG	|	
639	|	FLOWERS	|	చంపకము	|	MAGNOLIA	|	చంపకము_CLUE	|	HTTP://UPLOAD.WIKIMEDIA.ORG/WIKIPEDIA/COMMONS/THUMB/4/49/MAGNOLIA_WIESENERI.JPG/362PX-MAGNOLIA_WIESENERI.JPG	|	
640	|	FLOWERS	|	బంతి	|	MARIGOLD	|	బంతి_CLUE	|	HTTP://WWW.THEFLOWEREXPERT.COM/MEDIA/IMAGES/GROWINGFLOWERS/FLOWERSANDSEASONS/MARIGOLDS/XMARIGOLD.JPG.PAGESPEED.IC.DB-4FMYOBM.JPG	|	
641	|	FLOWERS	|	వేప పువ్వు	|	NEEM BLOWER	|	వేప పువ్వు_CLUE	|	HTTP://WWW.APHERALD.COM/IMAGESTORE/IMAGES/WOMEN/WOMEN_HEALTHCARE/NEEM-FLOWER647X450.JPG	|	
642	|	FLOWERS	|	పారిజాతము	|	NIGHT JASMINE	|	పారిజాతము_CLUE	|	HTTP://WWW.HINDU.COM/MP/2008/02/25/IMAGES/2008022551220201.JPG	|	
643	|	FLOWERS	|	రేరాణి	|	NIGHT QUEEN	|	రేరాణి_CLUE	|	HTTP://WWW.FLWILDFLOWERS.COM/GALLERY/CEREUS2X.JPG	|	
644	|	FLOWERS	|	జాజి పువ్వు	|	NUT-FLOWER	|	జాజి పువ్వు_CLUE	|	HTTP://WWW.STARCOSTUMES.COM/LGIMAGES/TS519211.JPG	|	
